年収,健康保険,厚生年金,社保合計,雇用保険,基礎控除,給与所得控除,課税所得,所得税,所得税+復興,住民税,手取り,税合計,税率%,増分%
175.0,9.8664,15.5916,25.458,1.05,48,60.0,40.4,2.02,2.01758,5.04,141.392,33.608000000000004,19.2,10.480000000001155,
175.5,10.422,16.47,26.892,1.0536,48,60.2,39.3,1.965,1.958735,4.93,140.6244,34.87559999999999,19.9,253.51999999999748,
176.0,10.422,16.47,26.892,1.056,48,60.400000000000006,39.6,1.98,1.97842,4.96,141.072,34.928,19.8,10.480000000001155,
176.5,10.422,16.47,26.892,1.0584,48,60.60000000000001,39.9,1.995,1.9881049999999998,4.99,141.5296,34.97040000000001,19.8,8.480000000002974,
177.0,10.422,16.47,26.892,1.062,48,60.8,40.2,2.01,2.00779,5.0200000000000005,141.976,35.024,19.8,10.719999999997754,
177.5,10.422,16.47,26.892,1.0656,48,61.0,40.5,2.025,2.017475,5.05,142.4324,35.0676,19.8,8.719999999999573,
178.0,10.422,16.47,26.892,1.068,48,61.2,40.8,2.04,2.03716,5.08,142.88,35.120000000000005,19.7,10.480000000001155,
178.5,10.422,16.47,26.892,1.0704,48,61.400000000000006,41.1,2.055,2.046845,5.11,143.3376,35.16239999999999,19.7,8.47999999999729,
179.0,10.422,16.47,26.892,1.074,48,61.60000000000001,41.4,2.07,2.0665299999999998,5.14,143.784,35.21600000000001,19.7,10.720000000003438,
179.5,10.422,16.47,26.892,1.0764,48,61.8,41.7,2.085,2.076215,5.170000000000001,144.2416,35.258399999999995,19.6,8.47999999999729,
180.0,10.422,16.47,26.892,1.08,48,62.0,42.0,2.1,2.0959000000000003,5.2,144.688,35.31200000000001,19.6,10.720000000003438,
180.5,10.422,16.47,26.892,1.0836,48,64.15,40.3,2.015,2.007685,5.03,145.4444,35.0556,19.4,-51.2800000000027,
181.0,10.422,16.47,26.892,1.086,48,64.3,40.7,2.035,2.027265,5.07,145.882,35.117999999999995,19.4,12.479999999999336,
181.5,10.422,16.47,26.892,1.0896,48,64.44999999999999,41.0,2.05,2.04695,5.1000000000000005,146.3284,35.17160000000001,19.4,10.720000000003438,
182.0,10.422,16.47,26.892,1.092,48,64.6,41.4,2.07,2.0665299999999998,5.14,146.766,35.23400000000001,19.4,12.479999999999336,
182.5,10.422,16.47,26.892,1.0944,48,64.75,41.7,2.085,2.076215,5.170000000000001,147.2236,35.276399999999995,19.3,8.47999999999729,
183.0,10.422,16.47,26.892,1.098,48,64.9,42.1,2.105,2.0957950000000003,5.21,147.66,35.34,19.3,12.720000000001619,
183.5,10.422,16.47,26.892,1.1016,48,65.05,42.4,2.12,2.1154800000000002,5.24,148.1064,35.39359999999999,19.3,10.719999999997754,
184.0,10.422,16.47,26.892,1.104,48,65.19999999999999,42.8,2.14,2.13506,5.28,148.544,35.45599999999999,19.3,12.479999999999336,
184.5,10.422,16.47,26.892,1.1064,48,65.35,43.1,2.155,2.154745,5.3100000000000005,148.9916,35.508399999999995,19.2,10.480000000001155,
185.0,10.422,16.47,26.892,1.11,48,65.5,43.4,2.17,2.16443,5.34,149.448,35.55199999999999,19.2,8.719999999999573,
185.5,10.422,16.47,26.892,1.1124,48,65.65,43.8,2.19,2.18401,5.38,149.8856,35.61439999999999,19.2,12.479999999999336,
186.0,11.1168,17.567999999999998,28.684799999999996,1.116,48,65.8,42.3,2.115,2.105585,5.2299999999999995,148.8192,37.180800000000005,20.0,313.28000000000316,
